epoch,step,train/loss,train/mu_mse,train/sigma_nll,train/weight_entropy,val/best_component_rmse,val/dominant_component_allocation,val/dominant_component_rmse,val/loss,val/mu_mse,val/sigma_nll,val/weight_entropy
0,99,2.141242027282715,1.0277068614959717,1.460108757019043,0.6931471824645996,,,,,,,
0,199,2.085228681564331,0.965099573135376,1.4667028188705444,0.6931471824645996,,,,,,,
0,199,,,,,0.9901305437088013,0.5,1.0085009336471558,2.1199820041656494,1.0071053504943848,1.4594498872756958,0.6931474804878235
1,299,2.1931862831115723,1.0673279762268066,1.4724318981170654,0.6931471824645996,,,,,,,
1,399,2.169727087020874,1.0494577884674072,1.4668430089950562,0.6931471824645996,,,,,,,
1,399,,,,,0.9936398863792419,0.5,1.008305311203003,2.109571933746338,1.0086348056793213,1.4475102424621582,0.6931474804878235
2,499,2.1196606159210205,1.014113426208496,1.4521207809448242,0.6931471824645996,,,,,,,
2,599,2.15181040763855,1.039473056793213,1.4589109420776367,0.6931471824645996,,,,,,,
2,599,,,,,0.990039587020874,0.5,1.0033155679702759,2.09246826171875,1.000683069229126,1.4383584260940552,0.6931474804878235
3,699,2.0476510524749756,0.9660203456878662,1.4282042980194092,0.6931471824645996,,,,,,,
3,799,1.9763340950012207,0.922005295753479,1.4009023904800415,0.6931471824645996,,,,,,,
3,799,,,,,0.993543267250061,0.5,1.0042017698287964,2.097095012664795,1.0062588453292847,1.437409520149231,0.6931474804878235
4,899,2.173668622970581,1.0558651685714722,1.4643770456314087,0.6931471824645996,,,,,,,
4,999,2.011564016342163,0.9482919573783875,1.4098455905914307,0.6931471824645996,,,,,,,
4,999,,,,,0.9927229881286621,0.5,1.004737138748169,2.091270923614502,1.0039199590682983,1.4339244365692139,0.6931474804878235
5,1099,2.049730062484741,0.979405403137207,1.4168981313705444,0.6931471824645996,,,,,,,
5,1199,2.137901544570923,1.0276768207550049,1.4567981958389282,0.6931471824645996,,,,,,,
5,1199,,,,,0.9916089773178101,0.5,1.0005489587783813,2.0859975814819336,1.0015093088150024,1.431061863899231,0.6931474804878235
6,1299,2.1326777935028076,1.033866286277771,1.4453849792480469,0.6931471824645996,,,,,,,
6,1399,2.169591188430786,1.0670294761657715,1.449135184288025,0.6931471824645996,,,,,,,
6,1399,,,,,0.9915406703948975,0.5,1.0012171268463135,2.0881645679473877,1.0006221532821655,1.4341157674789429,0.6931474804878235
7,1499,2.106722116470337,1.012661099433899,1.4406347274780273,0.6931471824645996,,,,,,,
7,1599,2.0582149028778076,0.9904251098632812,1.4143633842468262,0.6931471824645996,,,,,,,
7,1599,,,,,0.9919790625572205,0.5,1.0023765563964844,2.0837783813476562,1.0018644332885742,1.4284875392913818,0.6931474804878235
8,1699,2.0039846897125244,0.9492820501327515,1.4012763500213623,0.6931471824645996,,,,,,,
8,1799,2.1578638553619385,1.0610270500183105,1.4434103965759277,0.6931471824645996,,,,,,,
8,1799,,,,,0.9909580945968628,0.5,1.0040748119354248,2.0901541709899902,1.0046217441558838,1.4321062564849854,0.6931474804878235
9,1899,1.996856927871704,0.9439898729324341,1.3994406461715698,0.6931471824645996,,,,,,,
9,1999,2.0859181880950928,1.0066901445388794,1.4258016347885132,0.6931471824645996,,,,,,,
9,1999,,,,,0.994970440864563,0.5,1.0006965398788452,2.085137367248535,1.0021586418151855,1.4295523166656494,0.6931474804878235
10,2099,2.1246256828308105,1.0347161293029785,1.4364598989486694,0.6931009292602539,,,,,,,
10,2199,1.8366210460662842,0.8540723323822021,1.3290491104125977,0.6930006742477417,,,,,,,
10,2199,,,,,0.956117570400238,0.5061950087547302,0.9757809638977051,1.979235291481018,0.9409691691398621,1.3847817182540894,0.6930310726165771
11,2299,1.9397634267807007,0.9140692353248596,1.372208595275879,0.6930287480354309,,,,,,,
11,2399,1.813218355178833,0.856214165687561,1.3035281896591187,0.6930480003356934,,,,,,,
11,2399,,,,,0.8913986086845398,0.5063836574554443,0.9106214642524719,1.7561836242675781,0.818786084651947,1.2839093208312988,0.6930240392684937
12,2499,1.688027024269104,0.7901574373245239,1.2444056272506714,0.6930720806121826,,,,,,,
12,2599,1.5394186973571777,0.7100701332092285,1.175708293914795,0.6927193403244019,,,,,,,
12,2599,,,,,0.841790497303009,0.5090115070343018,0.8616431951522827,1.5763111114501953,0.7325727343559265,1.1901872158050537,0.6928982138633728
13,2699,1.4550914764404297,0.6577913761138916,1.1437678337097168,0.6929355263710022,,,,,,,
13,2799,1.5804007053375244,0.7431973218917847,1.1835241317749023,0.6926414966583252,,,,,,,
13,2799,,,,,0.8126546740531921,0.5128451585769653,0.8335818648338318,1.4808241128921509,0.6862689256668091,1.1409250497817993,0.6927400231361389
14,2899,1.5016963481903076,0.7109338641166687,1.1372919082641602,0.6930590271949768,,,,,,,
14,2999,1.4279450178146362,0.646483302116394,1.127968192100525,0.6930130124092102,,,,,,,
14,2999,,,,,0.7811563611030579,0.504830539226532,0.8157383799552917,1.410164475440979,0.6446154713630676,1.1120853424072266,0.6930726766586304
15,3099,1.3118398189544678,0.599321722984314,1.059021234512329,0.6930063962936401,,,,,,,
15,3199,1.348365068435669,0.6358778476715088,1.0590132474899292,0.6930520534515381,,,,,,,
15,3199,,,,,0.7441077828407288,0.506327748298645,0.8261491656303406,1.3411126136779785,0.6113243103027344,1.0763046741485596,0.6930332779884338
16,3299,1.1623125076293945,0.5110093355178833,0.9977980852127075,0.6929899454116821,,,,,,,
16,3399,1.2774137258529663,0.5515917539596558,1.072291374206543,0.6929387450218201,,,,,,,
16,3399,,,,,0.700588583946228,0.5195803046226501,0.8390241861343384,1.2470356225967407,0.5277773141860962,1.0654079914093018,0.6922995448112488
17,3499,1.1327601671218872,0.47104036808013916,1.0082536935806274,0.6930678486824036,,,,,,,
17,3599,1.2408699989318848,0.5177001953125,1.0696537494659424,0.6929678916931152,,,,,,,
17,3599,,,,,0.6487154364585876,0.5066789388656616,0.875779926776886,1.1156080961227417,0.4702342748641968,0.9918821454048157,0.6930167078971863
18,3699,1.1863632202148438,0.5159076452255249,1.0168077945709229,0.6927045583724976,,,,,,,
18,3799,1.1608484983444214,0.4723205864429474,1.0350322723388672,0.6930086016654968,,,,,,,
18,3799,,,,,0.618972897529602,0.5045181512832642,0.9099697470664978,1.0538781881332397,0.43702787160873413,0.9633926153182983,0.6930842995643616
19,3899,0.9974242448806763,0.4243256449699402,0.9195513725280762,0.6929057240486145,,,,,,,
19,3999,1.0365326404571533,0.4099876284599304,0.9730866551399231,0.6930834054946899,,,,,,,
19,3999,,,,,0.6024236679077148,0.5120898485183716,0.9055283665657043,1.0146238803863525,0.4142380654811859,0.94677734375,0.6927834153175354
20,4099,0.9916359782218933,0.41378939151763916,0.9243788719177246,0.6930645704269409,,,,,,,
20,4199,0.8845405578613281,0.35496073961257935,0.8761135935783386,0.6930675506591797,,,,,,,
20,4199,,,,,0.6027677059173584,0.5056379437446594,0.8904359936714172,1.0110254287719727,0.41356807947158813,0.9439836740493774,0.6930528283119202
21,4299,0.9049819707870483,0.36712193489074707,0.8841014504432678,0.6924826502799988,,,,,,,
21,4399,0.9649209976196289,0.40685099363327026,0.9045186042785645,0.6928973197937012,,,,,,,
21,4399,,,,,0.5929805636405945,0.5084885954856873,0.9102159738540649,0.9646982550621033,0.4033624231815338,0.907825767993927,0.6929799318313599
22,4499,0.9354314804077148,0.37151771783828735,0.9100545048713684,0.6922814249992371,,,,,,,
22,4599,0.9151721000671387,0.4052237570285797,0.8564128875732422,0.6929289698600769,,,,,,,
22,4599,,,,,0.5864169597625732,0.5102429389953613,0.8806220889091492,0.9425886273384094,0.3953630030155182,0.8936635255813599,0.6928759813308716
23,4699,0.9795891642570496,0.3915703296661377,0.9345746636390686,0.6931115388870239,,,,,,,
23,4799,0.9912972450256348,0.41780441999435425,0.9199323654174805,0.6928791999816895,,,,,,,
23,4799,,,,,0.587943971157074,0.5073637962341309,0.9227310419082642,0.9698935747146606,0.3978307843208313,0.9185625314712524,0.6929996609687805
24,4899,1.0026614665985107,0.42893457412719727,0.9202908277511597,0.6931278109550476,,,,,,,
24,4999,0.9009202122688293,0.3592449724674225,0.8881456255912781,0.6929408311843872,,,,,,,
24,4999,,,,,0.5876063108444214,0.5054317116737366,0.9135265946388245,0.9374858736991882,0.3973068594932556,0.886708676815033,0.6930591464042664
25,5099,0.9313709735870361,0.37276849150657654,0.9051226377487183,0.6930403709411621,,,,,,,
25,5199,0.8845093250274658,0.3515647053718567,0.8792374730110168,0.6925856471061707,,,,,,,
25,5199,,,,,0.5795932412147522,0.5051456093788147,0.9063529968261719,0.9198249578475952,0.3884734511375427,0.8778850436210632,0.6930670738220215
26,5299,0.7996353507041931,0.33840733766555786,0.8077902793884277,0.6931244134902954,,,,,,,
26,5399,0.8970480561256409,0.35868293046951294,0.8849232792854309,0.693116307258606,,,,,,,
26,5399,,,,,0.5747648477554321,0.5037376284599304,0.9124550819396973,0.9108306169509888,0.38613206148147583,0.8712507486343384,0.6931045055389404
27,5499,0.8709005117416382,0.35588979721069336,0.8613179922103882,0.6926145553588867,,,,,,,
27,5599,0.9274916648864746,0.42161327600479126,0.8523885607719421,0.6930203437805176,,,,,,,
27,5599,,,,,0.5697556138038635,0.505258321762085,0.9068806171417236,0.8890860080718994,0.37883344292640686,0.8567822575569153,0.6930597424507141
28,5699,0.8244062662124634,0.35422155261039734,0.8167310357093811,0.6930925846099854,,,,,,,
28,5799,0.7914690375328064,0.3310358226299286,0.8067587018013,0.6926509141921997,,,,,,,
28,5799,,,,,0.5677844882011414,0.5063191056251526,0.8836411833763123,0.8992486596107483,0.3740019202232361,0.8717595934867859,0.6930258274078369
29,5899,0.8172538876533508,0.35972291231155396,0.8039498925209045,0.6928378343582153,,,,,,,
29,5999,0.9718382954597473,0.40371692180633545,0.9146596789360046,0.693076491355896,,,,,,,
29,5999,,,,,0.5647401213645935,0.5154388546943665,0.8919482827186584,0.8777633309364319,0.37300437688827515,0.8510645627975464,0.6926110982894897
30,6099,0.7511014938354492,0.3234938681125641,0.7741296291351318,0.6930440068244934,,,,,,,
30,6199,0.8261648416519165,0.34545424580574036,0.8268979787826538,0.6923746466636658,,,,,,,
30,6199,,,,,0.5569226145744324,0.5126563310623169,0.9085313081741333,0.8501946330070496,0.3629752993583679,0.8336148858070374,0.692791223526001
31,6299,0.9323408603668213,0.3924022912979126,0.886479914188385,0.693082869052887,,,,,,,
31,6399,0.8408377766609192,0.3473646640777588,0.8399882316589355,0.6930302381515503,,,,,,,
31,6399,,,,,0.5522544384002686,0.5061677694320679,0.8969259858131409,0.8413787484169006,0.35920119285583496,0.8286961913108826,0.6930369138717651
32,6499,0.7969565391540527,0.3354622721672058,0.807966947555542,0.6929455399513245,,,,,,,
32,6599,0.8400466442108154,0.35430091619491577,0.8322377800941467,0.6929841041564941,,,,,,,
32,6599,,,,,0.5571861863136292,0.5050851106643677,0.8901574015617371,0.8271899819374084,0.3636305630207062,0.8100960850715637,0.6930733919143677
33,6699,0.946143627166748,0.44646015763282776,0.846093475818634,0.6928200125694275,,,,,,,
