epoch,step,train/loss,train/mu_mse,train/sigma_nll,train/weight_entropy,val/best_component_rmse,val/dominant_component_allocation,val/dominant_component_rmse,val/loss,val/mu_mse,val/sigma_nll,val/weight_entropy
0,99,2.135092258453369,1.026045322418213,1.4555872678756714,0.6930809020996094,,,,,,,
0,199,2.010591983795166,0.9357330799102783,1.4214248657226562,0.6931320428848267,,,,,,,
0,199,,,,,0.9881039261817932,0.5014405250549316,1.013779640197754,2.111233711242676,1.005865216255188,1.4519404172897339,0.6931431889533997
1,299,2.1670093536376953,1.0513019561767578,1.4622457027435303,0.6930768489837646,,,,,,,
1,399,2.1152994632720947,1.0072691440582275,1.454592227935791,0.6931238174438477,,,,,,,
1,399,,,,,0.9901872873306274,0.5065787434577942,1.003098726272583,2.097982168197632,1.000378131866455,1.444133996963501,0.693060576915741
2,499,2.129486560821533,1.0268793106079102,1.4491397142410278,0.6930649280548096,,,,,,,
2,599,2.031388759613037,0.9720799326896667,1.4058783054351807,0.6931393146514893,,,,,,,
2,599,,,,,0.9901723861694336,0.5051901340484619,1.00361168384552,2.0918426513671875,0.9996610879898071,1.4387282133102417,0.6930930614471436
3,699,2.0770673751831055,0.9924911856651306,1.431104063987732,0.6930556297302246,,,,,,,
3,799,2.0958712100982666,1.0094836950302124,1.4329452514648438,0.6931155920028687,,,,,,,
3,799,,,,,0.9894365072250366,0.5040348172187805,1.003221035003662,2.087054491043091,0.9970310926437378,1.4365806579589844,0.693114697933197
4,899,2.0614335536956787,0.9916818141937256,1.4163165092468262,0.6931296586990356,,,,,,,
4,999,2.0840792655944824,1.0042654275894165,1.4262807369232178,0.6929339170455933,,,,,,,
4,999,,,,,0.9897188544273376,0.5093234777450562,1.0022732019424438,2.0798184871673584,0.996857762336731,1.4294474124908447,0.6929734349250793
5,1099,2.0592169761657715,0.9751224517822266,1.430653691291809,0.6931182146072388,,,,,,,
5,1199,2.0412216186523438,0.9659876227378845,1.4217742681503296,0.6930806636810303,,,,,,,
5,1199,,,,,0.9915201663970947,0.5084856748580933,1.0017716884613037,2.0884532928466797,1.0024007558822632,1.432553768157959,0.6930030584335327
6,1299,2.132565498352051,1.0341849327087402,1.4449353218078613,0.6931096315383911,,,,,,,
6,1399,2.0507683753967285,0.9862065315246582,1.4110952615737915,0.6930664777755737,,,,,,,
6,1399,,,,,0.9924303889274597,0.5049416422843933,0.9999590516090393,2.0763463973999023,0.996393084526062,1.4265025854110718,0.6930981874465942
7,1499,2.095475673675537,1.0010415315628052,1.4409953355789185,0.693122386932373,,,,,,,
7,1599,2.0942142009735107,1.0151079893112183,1.4256259202957153,0.6930395364761353,,,,,,,
7,1599,,,,,0.9914095401763916,0.5053226947784424,0.9991152882575989,2.0756375789642334,0.9956170320510864,1.426566243171692,0.6930904984474182
8,1699,2.0478129386901855,0.9718191623687744,1.422563910484314,0.6931400299072266,,,,,,,
8,1799,2.2707929611206055,1.1254045963287354,1.4919525384902954,0.6931283473968506,,,,,,,
8,1799,,,,,0.991686999797821,0.5049204230308533,1.0002195835113525,2.0762391090393066,0.9959845542907715,1.4268040657043457,0.693098783493042
9,1899,2.167691946029663,1.059946894645691,1.4542827606201172,0.6930757761001587,,,,,,,
9,1999,2.0816500186920166,1.003494143486023,1.4247066974639893,0.6931014060974121,,,,,,,
9,1999,,,,,0.9907304048538208,0.5047557950019836,0.9982696175575256,2.066704750061035,0.9940676093101501,1.4191880226135254,0.6931017637252808
10,2099,2.0336575508117676,0.9730522036552429,1.4071393013000488,0.6930680274963379,,,,,,,
10,2199,2.0554511547088623,0.9833167791366577,1.418671727180481,0.6930745244026184,,,,,,,
