epoch,step,train/cfm_loss,train/loss,val/best_sample_rmse,val/cfm_loss,val/loss,val/object_rmse_whitened,val/rank_std,val/sample_mean_rmse,val/sample_spread
0,49,1.8710312843322754,1.8710312843322754,,,,,,,
0,99,1.7586027383804321,1.7586027383804321,,,,,,,
0,149,1.9181840419769287,1.9181840419769287,,,,,,,
0,199,1.5692094564437866,1.5692094564437866,,,,,,,
0,199,,,0.98839271068573,1.6715121269226074,1.6715121269226074,0.8785786032676697,1.0056378841400146,0.9800357222557068,0.9627380967140198
1,249,1.5721466541290283,1.5721466541290283,,,,,,,
1,299,1.5714499950408936,1.5714499950408936,,,,,,,
1,349,1.485945701599121,1.485945701599121,,,,,,,
1,399,1.6701428890228271,1.6701428890228271,,,,,,,
1,399,,,0.9791676998138428,1.5961979627609253,1.5961979627609253,0.858723521232605,1.0064505338668823,0.9760293960571289,0.9588265419006348
2,449,1.5807116031646729,1.5807116031646729,,,,,,,
2,499,1.5360383987426758,1.5360383987426758,,,,,,,
2,549,1.5193787813186646,1.5193787813186646,,,,,,,
2,599,1.5724337100982666,1.5724337100982666,,,,,,,
2,599,,,0.9650588631629944,1.567671775817871,1.567671775817871,0.8306071758270264,1.0182784795761108,0.9683113694190979,0.9265993237495422
3,649,1.5515798330307007,1.5515798330307007,,,,,,,
3,699,1.6206200122833252,1.6206200122833252,,,,,,,
3,749,1.5705209970474243,1.5705209970474243,,,,,,,
3,799,1.5921789407730103,1.5921789407730103,,,,,,,
3,799,,,0.9639930129051208,1.563506007194519,1.563506007194519,0.8139799237251282,1.0055519342422485,0.9676364064216614,0.9376952052116394
4,849,1.5311400890350342,1.5311400890350342,,,,,,,
4,899,1.4362833499908447,1.4362833499908447,,,,,,,
4,949,1.602726936340332,1.602726936340332,,,,,,,
4,999,1.5183393955230713,1.5183393955230713,,,,,,,
4,999,,,0.9510055780410767,1.5369184017181396,1.5369184017181396,0.7960379123687744,1.0101286172866821,0.9584470987319946,0.9169357419013977
5,1049,1.6392271518707275,1.6392271518707275,,,,,,,
5,1099,1.4680554866790771,1.4680554866790771,,,,,,,
5,1149,1.3768762350082397,1.3768762350082397,,,,,,,
5,1199,1.560521125793457,1.560521125793457,,,,,,,
5,1199,,,0.9457297325134277,1.5154609680175781,1.5154609680175781,0.7891430854797363,1.008502721786499,0.9547620415687561,0.9115878343582153
6,1249,1.4446275234222412,1.4446275234222412,,,,,,,
6,1299,1.5829460620880127,1.5829460620880127,,,,,,,
6,1349,1.5478752851486206,1.5478752851486206,,,,,,,
6,1399,1.5429847240447998,1.5429847240447998,,,,,,,
6,1399,,,0.9419274926185608,1.5074713230133057,1.5074713230133057,0.7902368903160095,1.0052751302719116,0.954230010509491,0.9075257778167725
