epoch,step,train/loss,train/mu_mse,train/sigma_nll,val/loss,val/mu_mse,val/sigma_nll,val/z_std
0,49,1.5059738159179688,1.007452130317688,0.49852174520492554,,,,
0,99,0.9694325923919678,0.6945629715919495,0.2748696208000183,,,,
0,149,0.6326388716697693,0.5494022369384766,0.08323663473129272,,,,
0,199,0.15597760677337646,0.3490697741508484,-0.19309216737747192,,,,
0,199,,,,0.15892300009727478,0.37352046370506287,-0.2145974189043045,0.9810563921928406
1,249,-0.10545256733894348,0.3125385344028473,-0.41799110174179077,,,,
1,299,-0.21519824862480164,0.2993161380290985,-0.5145143866539001,,,,
1,349,-0.32896900177001953,0.27782273292541504,-0.6067917346954346,,,,
1,399,-0.33130136132240295,0.2871532142162323,-0.6184545755386353,,,,
1,399,,,,-0.3529799282550812,0.27730807662010193,-0.6302879452705383,0.9508806467056274
2,449,-0.5051984786987305,0.2572370171546936,-0.7624354958534241,,,,
2,499,-0.5288795232772827,0.253059446811676,-0.7819389700889587,,,,
2,549,-0.6235424280166626,0.2416643649339676,-0.865206778049469,,,,
2,599,-0.5494866371154785,0.2489737570285797,-0.7984603643417358,,,,
2,599,,,,-0.5934153199195862,0.2501993179321289,-0.8436145782470703,1.0185821056365967
3,649,-0.7076358795166016,0.2172534167766571,-0.924889326095581,,,,
3,699,-0.7281101942062378,0.2610754668712616,-0.989185631275177,,,,
3,749,-0.7047069072723389,0.25122299790382385,-0.9559299349784851,,,,
3,799,-0.700821578502655,0.2570798993110657,-0.9579014778137207,,,,
3,799,,,,-0.7493982315063477,0.24052074551582336,-0.9899190068244934,1.0269968509674072
4,849,-0.7452424764633179,0.24809673428535461,-0.9933391809463501,,,,
4,899,-0.8216146230697632,0.26065561175346375,-1.0822702646255493,,,,
4,949,-0.8066065907478333,0.21354715526103973,-1.0201537609100342,,,,
4,999,-0.767113208770752,0.24881650507450104,-1.0159296989440918,,,,
4,999,,,,-0.7838326692581177,0.2378111034631729,-1.021643877029419,0.9960228204727173
