epoch,step,train/loss,train/mu_mse,train/sigma_nll,val/loss,val/mu_mse,val/sigma_nll,val/z_std
0,49,1.9895105361938477,0.7177550196647644,1.271755576133728,,,,
0,99,1.7187292575836182,0.5535997748374939,1.1651294231414795,,,,
0,149,1.541907787322998,0.4482160210609436,1.0936917066574097,,,,
0,199,1.594316005706787,0.5036502480506897,1.0906658172607422,,,,
0,199,,,,1.4962108135223389,0.4415588080883026,1.0546519756317139,0.6755106449127197
1,249,1.5270994901657104,0.4649355709552765,1.0621639490127563,,,,
1,299,1.3308076858520508,0.3740212023258209,0.9567864537239075,,,,
1,349,1.381319522857666,0.40508782863616943,0.9762316942214966,,,,
1,399,1.0695736408233643,0.20121869444847107,0.8683549761772156,,,,
1,399,,,,1.1051216125488281,0.22273044288158417,0.8823911547660828,0.5018311738967896
2,449,1.0578699111938477,0.19953472912311554,0.8583351969718933,,,,
2,499,0.8369845151901245,0.11955210566520691,0.7174323797225952,,,,
2,549,0.7173666954040527,0.13393111526966095,0.583435595035553,,,,
2,599,0.7141737937927246,0.13641752302646637,0.5777562856674194,,,,
2,599,,,,0.5970554351806641,0.12412180006504059,0.4729336202144623,0.4587172269821167
3,649,0.5666391849517822,0.12316849082708359,0.44347071647644043,,,,
3,699,0.4821056127548218,0.13554325699806213,0.34656235575675964,,,,
3,749,0.3158087432384491,0.11894070357084274,0.19686803221702576,,,,
3,799,0.19129347801208496,0.13109076023101807,0.0602027103304863,,,,
3,799,,,,0.23760704696178436,0.11680310219526291,0.12080400437116623,0.6108497381210327
4,849,0.11884672194719315,0.10163497179746628,0.017211752012372017,,,,
4,899,0.1346512734889984,0.1090565100312233,0.025594767183065414,,,,
4,949,0.07490788400173187,0.13896284997463226,-0.06405496597290039,,,,
4,999,0.04035859555006027,0.12888582050800323,-0.08852722495794296,,,,
4,999,,,,-0.0646807923913002,0.11015636473894119,-0.17483718693256378,0.6777609586715698
5,1049,-0.09680334478616714,0.10587608069181442,-0.20267942547798157,,,,
5,1099,-0.012470923364162445,0.11554910987615585,-0.1280200332403183,,,,
5,1149,-0.054060593247413635,0.11020836234092712,-0.16426895558834076,,,,
5,1199,-0.06477924436330795,0.0991961732506752,-0.16397541761398315,,,,
5,1199,,,,-0.22885315120220184,0.10833197832107544,-0.33718517422676086,0.7519424557685852
6,1249,-0.1569155752658844,0.12461051344871521,-0.2815260887145996,,,,
6,1299,-0.34570690989494324,0.0790037289261818,-0.42471063137054443,,,,
6,1349,-0.249563068151474,0.10812460631132126,-0.35768768191337585,,,,
6,1399,-0.033406585454940796,0.15163834393024445,-0.18504492938518524,,,,
6,1399,,,,-0.30310675501823425,0.10563360899686813,-0.408740371465683,0.7397447228431702
7,1449,-0.27588173747062683,0.10096672922372818,-0.3768484592437744,,,,
7,1499,-0.392514169216156,0.08418770879507065,-0.47670188546180725,,,,
7,1549,-0.39697152376174927,0.08098806440830231,-0.4779595732688904,,,,
7,1599,-0.3297497034072876,0.11801750212907791,-0.4477671980857849,,,,
7,1599,,,,-0.3338169455528259,0.10469672828912735,-0.4385136663913727,0.780229926109314
8,1649,-0.29987356066703796,0.10505933314561844,-0.4049328863620758,,,,
8,1699,-0.45044559240341187,0.10343236476182938,-0.5538779497146606,,,,
8,1749,-0.37258821725845337,0.12192894518375397,-0.49451717734336853,,,,
8,1799,-0.24726885557174683,0.11865328997373581,-0.36592215299606323,,,,
8,1799,,,,-0.4279300272464752,0.10272843390703201,-0.5306585431098938,0.756589412689209
9,1849,-0.3477908670902252,0.09477704763412476,-0.44256791472435,,,,
9,1899,-0.5166471004486084,0.09395203739404678,-0.610599160194397,,,,
9,1949,-0.08932961523532867,0.10964131355285645,-0.19897092878818512,,,,
9,1999,-0.23196887969970703,0.14449229836463928,-0.3764611780643463,,,,
9,1999,,,,-0.5027281641960144,0.10178679972887039,-0.6045150756835938,0.7538195252418518
10,2049,-0.20232132077217102,0.10728804022073746,-0.3096093535423279,,,,
10,2099,-0.5501744151115417,0.10433769226074219,-0.6545121073722839,,,,
10,2149,-0.25502103567123413,0.12806196510791779,-0.3830830156803131,,,,
10,2199,-0.36987799406051636,0.12933874130249023,-0.4992167353630066,,,,
10,2199,,,,-0.5062682032585144,0.10145832598209381,-0.6077266335487366,0.7706460952758789
11,2249,-0.5616413950920105,0.09911606460809708,-0.6607574820518494,,,,
11,2299,-0.4984896779060364,0.09218341112136841,-0.5906730890274048,,,,
11,2349,-0.40276092290878296,0.08272044360637665,-0.4854813516139984,,,,
11,2399,-0.5185014605522156,0.1054719090461731,-0.6239733695983887,,,,
11,2399,,,,-0.5384865999221802,0.10107766091823578,-0.6395643353462219,0.7550355195999146
12,2449,-0.4837424159049988,0.13392400741577148,-0.6176664233207703,,,,
12,2499,-0.378143310546875,0.10866867750883102,-0.4868119955062866,,,,
12,2549,-0.506714940071106,0.08016777783632278,-0.5868827104568481,,,,
12,2599,-0.41309064626693726,0.11320404708385468,-0.5262947082519531,,,,
12,2599,,,,-0.5621827244758606,0.10063262283802032,-0.6628153920173645,0.7562811374664307
13,2649,-0.5436967611312866,0.10960859805345535,-0.6533053517341614,,,,
13,2699,-0.3217613399028778,0.09173937886953354,-0.41350072622299194,,,,
13,2749,-0.3850604295730591,0.09833022952079773,-0.4833906590938568,,,,
13,2799,-0.5965742468833923,0.09802506119012833,-0.6945993304252625,,,,
13,2799,,,,-0.5739730000495911,0.10052806884050369,-0.6745010614395142,0.7498283386230469
14,2849,-0.13261613249778748,0.11566037684679031,-0.2482765018939972,,,,
14,2899,-0.45472049713134766,0.10934942960739136,-0.564069926738739,,,,
14,2949,-0.32213783264160156,0.09305772185325623,-0.4151955544948578,,,,
14,2999,-0.15583062171936035,0.11045407503843307,-0.266284704208374,,,,
14,2999,,,,-0.5727477669715881,0.10052231699228287,-0.6732701063156128,0.7479233741760254
